suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Adhesion,0.02,train,10,18,0.8754475712776184,3.9014363288879395,3.5999999046325684
Adhesion,0.02,train,11,20,0.8222550749778748,3.931387186050415,3.6363637447357178
Adhesion,0.02,train,11,20,0.8453937768936157,3.9020798206329346,3.6363637447357178
Adhesion,0.02,train,11,20,0.8642572164535522,3.8853349685668945,3.6363637447357178
Adhesion,0.02,train,11,20,0.9016101360321045,3.8652923107147217,3.6363637447357178
Adhesion,0.02,train,11,20,0.9200931191444397,3.8584916591644287,3.6363637447357178
Adhesion,0.02,train,11,20,0.9305116534233093,3.852055311203003,3.6363637447357178
Adhesion,0.02,train,11,20,0.9399310946464539,3.8473448753356934,3.6363637447357178
Adhesion,0.02,train,12,22,0.8707453608512878,3.876974105834961,3.6666667461395264
Adhesion,0.02,train,12,22,0.887261688709259,3.85904598236084,3.6666667461395264
Adhesion,0.02,train,12,22,0.9023019671440125,3.849095106124878,3.6666667461395264
Adhesion,0.02,train,12,22,0.9197478294372559,3.8396518230438232,3.6666667461395264
Adhesion,0.02,train,14,28,0.7944306135177612,3.8741543292999268,4.0
Adhesion,0.02,train,16,33,0.7086324095726013,3.9156994819641113,4.125
Adhesion,0.02,train,17,35,0.6918050050735474,3.900247573852539,4.117647171020508
Adhesion,0.02,train,17,35,0.7262734174728394,3.880807876586914,4.117647171020508
Adhesion,0.02,train,17,35,0.7618613243103027,3.875446081161499,4.117647171020508
Adhesion,0.02,train,17,35,0.7939493656158447,3.874493360519409,4.117647171020508
Adhesion,0.02,train,18,37,0.8078221678733826,3.8744192123413086,4.111111164093018
Adhesion,0.02,train,18,37,0.8412766456604004,3.870284080505371,4.111111164093018
Adhesion,0.02,train,18,37,0.8748971223831177,3.8698413372039795,4.111111164093018
Adhesion,0.02,train,18,37,0.9067879915237427,3.8720643520355225,4.111111164093018
Adhesion,0.02,train,20,41,0.8348029851913452,3.905879259109497,4.099999904632568
Adhesion,0.02,train,20,41,0.8530040979385376,3.8888015747070312,4.099999904632568
Adhesion,0.02,train,20,41,0.8687044978141785,3.8824920654296875,4.099999904632568
Adhesion,0.02,train,20,41,0.8990685343742371,3.878150463104248,4.099999904632568
Adhesion,0.02,train,20,41,0.9134625196456909,3.8799235820770264,4.099999904632568
Adhesion,0.02,train,20,41,0.9244610071182251,3.8795788288116455,4.099999904632568
Adhesion,0.02,train,20,41,0.9347279667854309,3.8795876502990723,4.099999904632568
Adhesion,0.02,train,22,46,0.8599157929420471,3.883120059967041,4.181818008422852
Adhesion,0.02,train,22,46,0.8777980208396912,3.8724663257598877,4.181818008422852
Adhesion,0.02,train,22,46,0.8941236734390259,3.867490291595459,4.181818008422852
Adhesion,0.02,train,22,46,0.9132279753684998,3.8600356578826904,4.181818008422852
Adhesion,0.02,train,24,51,0.8446218371391296,3.8961431980133057,4.25
Adhesion,0.02,train,28,60,0.7324995398521423,3.9540939331054688,4.285714149475098
Adhesion,0.02,train,30,66,0.7009498476982117,3.9714677333831787,4.400000095367432
Adhesion,0.02,train,30,67,0.7278064489364624,3.966826915740967,4.4666666984558105
Adhesion,0.02,train,30,67,0.7573625445365906,3.968158006668091,4.4666666984558105
Adhesion,0.02,train,30,67,0.7808418869972229,3.9779601097106934,4.4666666984558105
Adhesion,0.02,train,32,72,0.7632575035095215,4.004947662353516,4.5
Adhesion,0.02,train,32,72,0.7835814952850342,4.005983829498291,4.5
Adhesion,0.02,train,32,72,0.8035656213760376,4.010221481323242,4.5
Adhesion,0.02,train,32,72,0.8232767581939697,4.016350746154785,4.5
Adhesion,0.02,train,36,83,0.7493859529495239,4.030450820922852,4.611111164093018
Adhesion,0.02,train,36,83,0.773760199546814,4.013342380523682,4.611111164093018
Adhesion,0.02,train,36,83,0.7964410185813904,4.007701396942139,4.611111164093018
Adhesion,0.02,train,36,83,0.8354041576385498,4.0040717124938965,4.611111164093018
Adhesion,0.02,train,36,83,0.8537667393684387,4.004606246948242,4.611111164093018
Adhesion,0.02,train,36,83,0.8710424900054932,4.0041327476501465,4.611111164093018
Adhesion,0.02,train,36,83,0.8870285153388977,4.00325345993042,4.611111164093018
Adhesion,0.02,train,39,92,0.83311527967453,3.997532844543457,4.717948913574219
Adhesion,0.02,train,39,92,0.8518495559692383,3.992542028427124,4.717948913574219
Adhesion,0.02,train,39,92,0.8694535493850708,3.989394426345825,4.717948913574219
Adhesion,0.02,train,39,92,0.8909462094306946,3.9823811054229736,4.717948913574219
Adhesion,0.02,train,43,102,0.8164418935775757,3.9604361057281494,4.744185924530029
Adhesion,0.02,train,49,118,0.7246216535568237,3.950324296951294,4.81632661819458
Adhesion,0.02,train,52,125,0.6898905038833618,3.942239999771118,4.807692527770996
Adhesion,0.02,train,52,125,0.6977380514144897,3.925342559814453,4.807692527770996
Adhesion,0.02,train,52,125,0.7074010372161865,3.9200544357299805,4.807692527770996
Adhesion,0.02,train,52,125,0.7167653441429138,3.9205868244171143,4.807692527770996
Adhesion,0.02,train,55,133,0.6932620406150818,3.919610023498535,4.836363792419434
Adhesion,0.02,train,55,133,0.702134907245636,3.9223484992980957,4.836363792419434
Adhesion,0.02,train,55,133,0.7126485705375671,3.928905725479126,4.836363792419434
Adhesion,0.02,train,55,133,0.7244793176651001,3.9316246509552,4.836363792419434
Adhesion,0.02,train,60,145,0.6745803952217102,3.962892770767212,4.833333492279053
Adhesion,0.02,train,60,145,0.6887362003326416,3.9493978023529053,4.833333492279053
Adhesion,0.02,train,60,145,0.7039327025413513,3.9370217323303223,4.833333492279053
Adhesion,0.02,train,60,145,0.7348111271858215,3.9238107204437256,4.833333492279053
Adhesion,0.02,train,60,145,0.7504395246505737,3.9252023696899414,4.833333492279053
Adhesion,0.02,train,60,145,0.765629231929779,3.9286723136901855,4.833333492279053
Adhesion,0.02,train,60,145,0.7806427478790283,3.932919979095459,4.833333492279053
Adhesion,0.02,train,64,155,0.7434971332550049,3.9514694213867188,4.84375
Adhesion,0.02,train,64,155,0.7569727301597595,3.954561233520508,4.84375
Adhesion,0.02,train,64,155,0.7712317705154419,3.9610326290130615,4.84375
Adhesion,0.02,train,64,155,0.7943694591522217,3.971975088119507,4.84375
Adhesion,0.02,train,69,167,0.7466768026351929,3.9747567176818848,4.840579509735107
Adhesion,0.02,train,78,190,0.669029176235199,3.992542028427124,4.871794700622559
Adhesion,0.02,train,84,206,0.6288377642631531,3.9864931106567383,4.904761791229248
Adhesion,0.02,train,84,206,0.6359366178512573,3.9682796001434326,4.904761791229248
Adhesion,0.02,train,84,206,0.643255352973938,3.956221342086792,4.904761791229248
Adhesion,0.02,train,84,206,0.6501927375793457,3.951327323913574,4.904761791229248
Adhesion,0.02,train,88,214,0.6320551037788391,3.9657645225524902,4.863636493682861
Adhesion,0.02,train,88,214,0.6378155946731567,3.965128183364868,4.863636493682861
Adhesion,0.02,train,88,214,0.6439248919487,3.9724481105804443,4.863636493682861
Adhesion,0.02,train,88,214,0.6505041122436523,3.9770758152008057,4.863636493682861
Adhesion,0.02,train,97,237,0.5957050323486328,4.0013017654418945,4.886598110198975
Adhesion,0.02,train,97,237,0.6021819710731506,3.9856832027435303,4.886598110198975
Adhesion,0.02,train,97,237,0.6089563369750977,3.985759973526001,4.886598110198975
Adhesion,0.02,train,97,237,0.6178926825523376,4.004220008850098,4.886598110198975
Adhesion,0.04,train,6,9,0.8660253882408142,3.722419500350952,3.0
Adhesion,0.04,train,6,9,0.920315682888031,3.747269630432129,3.0
Adhesion,0.04,train,7,11,0.7930823564529419,3.8759067058563232,3.142857074737549
Adhesion,0.04,train,8,13,0.7067676782608032,3.897561550140381,3.25
Adhesion,0.04,train,9,15,0.6504219174385071,3.9137725830078125,3.3333332538604736
Adhesion,0.04,train,9,15,0.6878106594085693,3.899596691131592,3.3333332538604736
Adhesion,0.04,train,9,15,0.7260596752166748,3.8976597785949707,3.3333332538604736
Adhesion,0.04,train,10,18,0.7160504460334778,3.964916229248047,3.5999999046325684
Adhesion,0.04,train,10,18,0.752372682094574,3.9242591857910156,3.5999999046325684
