suite,param_value,split,n_nodes,n_edges,mean_area,mean_shape_index,mean_neighbors
Control,0.1,train,18,35,0.6878305077552795,3.9156112670898438,3.8888888359069824
Control,0.1,train,24,50,0.577157199382782,3.8921985626220703,4.166666507720947
Control,0.1,train,24,50,0.6257084012031555,3.881521224975586,4.166666507720947
Control,0.1,train,24,50,0.676054060459137,3.88191294670105,4.166666507720947
Control,0.1,train,24,50,0.7257605195045471,3.8852198123931885,4.166666507720947
Control,0.1,train,24,50,0.7734310030937195,3.891515016555786,4.166666507720947
Control,0.1,train,24,50,0.8155799508094788,3.898789167404175,4.166666507720947
Control,0.1,train,24,50,0.8908641934394836,3.917332887649536,4.166666507720947
Control,0.1,train,24,50,0.9187598824501038,3.9252736568450928,4.166666507720947
Control,0.1,train,24,50,0.937028706073761,3.925705909729004,4.166666507720947
Control,0.1,train,24,50,0.9447996020317078,3.92024827003479,4.166666507720947
Control,0.1,train,24,50,0.946922242641449,3.9141435623168945,4.166666507720947
Control,0.1,train,24,50,0.9482008814811707,3.909114122390747,4.166666507720947
Control,0.1,train,24,50,0.9491472840309143,3.904710531234741,4.166666507720947
Control,0.1,train,24,50,0.9505916237831116,3.8977248668670654,4.166666507720947
Control,0.1,train,24,50,0.9511688351631165,3.8949413299560547,4.166666507720947
Control,0.1,train,24,50,0.951690673828125,3.8925087451934814,4.166666507720947
Control,0.1,train,26,55,0.8779436945915222,3.9072694778442383,4.230769157409668
Control,0.1,train,26,56,0.8840664625167847,3.8944497108459473,4.307692527770996
Control,0.1,train,26,56,0.8921413421630859,3.8758914470672607,4.307692527770996
Control,0.1,train,32,69,0.7424211502075195,3.9196360111236572,4.3125
Control,0.1,train,39,85,0.6222534775733948,3.9541447162628174,4.358974456787109
Control,0.1,train,43,96,0.5856506824493408,3.9368860721588135,4.465116500854492
Control,0.1,train,43,96,0.6149390339851379,3.9262099266052246,4.465116500854492
Control,0.1,train,43,96,0.6419081687927246,3.930864095687866,4.465116500854492
Control,0.1,train,43,97,0.6700425148010254,3.9232819080352783,4.511627674102783
Control,0.1,train,43,97,0.7212976217269897,3.9446184635162354,4.511627674102783
Control,0.1,train,43,97,0.7454192638397217,3.9576830863952637,4.511627674102783
Control,0.1,train,43,97,0.7678194046020508,3.964634418487549,4.511627674102783
Control,0.1,train,43,97,0.7898866534233093,3.973357915878296,4.511627674102783
Control,0.1,train,43,97,0.8109708428382874,3.979621410369873,4.511627674102783
Control,0.1,train,43,97,0.8287689089775085,3.982675552368164,4.511627674102783
Control,0.1,train,43,97,0.8534743785858154,3.971677303314209,4.511627674102783
Control,0.1,train,43,97,0.8635435104370117,3.969975709915161,4.511627674102783
Control,0.1,train,43,97,0.872492253780365,3.9684977531433105,4.511627674102783
Control,0.1,train,43,97,0.8804731965065002,3.967052698135376,4.511627674102783
Control,0.1,train,43,97,0.887580931186676,3.9655771255493164,4.511627674102783
Control,0.1,train,43,97,0.893701434135437,3.9632654190063477,4.511627674102783
Control,0.1,train,46,104,0.8443318009376526,3.956033229827881,4.5217390060424805
Control,0.1,train,46,105,0.8482702374458313,3.952143430709839,4.5652174949646
Control,0.1,train,52,121,0.7565235495567322,3.9314324855804443,4.653846263885498
Control,0.1,train,57,134,0.7014267444610596,3.9485342502593994,4.701754570007324
Control,0.1,train,69,167,0.5884295105934143,3.9429869651794434,4.840579509735107
Control,0.1,train,75,184,0.549271821975708,3.9421207904815674,4.9066667556762695
Control,0.1,train,75,184,0.5733286738395691,3.924654960632324,4.9066667556762695
Control,0.1,train,75,184,0.5873011350631714,3.9236955642700195,4.9066667556762695
Control,0.1,train,75,184,0.6023946404457092,3.9285147190093994,4.9066667556762695
Control,0.1,train,75,184,0.6187784075737,3.9373397827148438,4.9066667556762695
Control,0.1,train,75,184,0.6367340683937073,3.9368929862976074,4.9066667556762695
Control,0.1,train,75,184,0.651919424533844,3.936699628829956,4.9066667556762695
Control,0.1,train,75,184,0.6802911162376404,3.939237356185913,4.9066667556762695
Control,0.1,train,75,185,0.6942664980888367,3.9347856044769287,4.933333396911621
Control,0.1,train,75,185,0.7055773138999939,3.934333086013794,4.933333396911621
Control,0.1,train,75,185,0.7156597375869751,3.934969186782837,4.933333396911621
Control,0.1,train,75,185,0.724960207939148,3.93587327003479,4.933333396911621
Control,0.1,train,75,185,0.7336763739585876,3.9369144439697266,4.933333396911621
Control,0.1,train,75,185,0.7497920989990234,3.928300380706787,4.933333396911621
Control,0.1,train,75,185,0.7573360204696655,3.924816846847534,4.933333396911621
Control,0.1,train,81,200,0.7079248428344727,3.952227830886841,4.938271522521973
Control,0.1,train,81,200,0.713927149772644,3.936471462249756,4.938271522521973
Control,0.1,train,81,200,0.7194033265113831,3.9319570064544678,4.938271522521973
Control,0.1,train,90,223,0.6511543989181519,3.933290958404541,4.955555438995361
Control,0.1,train,112,279,0.5322685837745667,3.9409801959991455,4.982142925262451
Control,0.1,train,119,297,0.5031193494796753,3.9325554370880127,4.991596698760986
Control,0.1,train,119,297,0.5039872527122498,3.9298784732818604,4.991596698760986
Control,0.1,train,119,297,0.5041467547416687,3.928441047668457,4.991596698760986
Control,0.1,train,119,297,0.5041928887367249,3.9326834678649902,4.991596698760986
Control,0.1,train,119,297,0.5042017102241516,3.9378502368927,4.991596698760986
Control,0.1,train,119,297,0.5042017102241516,3.945810079574585,4.991596698760986
Adhesion,0.0,train,6,9,0.8660253882408142,3.722419500350952,3.0
Adhesion,0.0,train,6,9,0.9038040637969971,3.7548723220825195,3.0
Adhesion,0.0,train,6,9,0.9254103302955627,3.7733147144317627,3.0
Adhesion,0.0,train,6,9,0.9420485496520996,3.7799739837646484,3.0
Adhesion,0.0,train,6,9,0.9587891697883606,3.7832601070404053,3.0
Adhesion,0.0,train,6,9,0.9675061702728271,3.7858521938323975,3.0
Adhesion,0.0,train,6,9,0.9676950573921204,3.788743734359741,3.0
Adhesion,0.0,train,6,9,0.9679087996482849,3.795293092727661,3.0
Adhesion,0.0,train,7,11,0.8276411890983582,3.90724515914917,3.142857074737549
Adhesion,0.0,train,8,13,0.7325764298439026,3.923643112182617,3.25
Adhesion,0.0,train,9,15,0.6712703704833984,3.974128246307373,3.3333332538604736
Adhesion,0.0,train,9,15,0.7021347880363464,3.935683250427246,3.3333332538604736
Adhesion,0.0,train,9,15,0.7358720898628235,3.924044609069824,3.3333332538604736
Adhesion,0.0,train,9,15,0.7697492837905884,3.9200010299682617,3.3333332538604736
Adhesion,0.0,train,10,17,0.7529389262199402,3.955169677734375,3.4000000953674316
Adhesion,0.0,train,10,17,0.7925792932510376,3.933438777923584,3.4000000953674316
