-- Configuring done (3.1s)
-- Generating done (2.4s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestDeformationEnergy
=== BUILD DONE, STARTING TestDeformationEnergy ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestDeformationEnergy.hpp *****


Entering TestAreaElasticity_1p0_rep1
Starting simulation: AreaElasticity_1.0_rep1
areaElasticity = 1
Target area: 60 units^2
Initial cell count: 6
t=151 h | cells=91 | area=29.9512/60 | coverage=49.9186%
t=152 h | cells=91 | area=30.3003/60 | coverage=50.5005%
t=153 h | cells=91 | area=30.6411/60 | coverage=51.0685%
t=154 h | cells=100 | area=30.2228/60 | coverage=50.3714%
t=155 h | cells=100 | area=29.832/60 | coverage=49.7201%
t=156 h | cells=101 | area=29.7853/60 | coverage=49.6422%
t=157 h | cells=102 | area=29.8196/60 | coverage=49.6993%
t=158 h | cells=102 | area=30.0742/60 | coverage=50.1237%
t=159 h | cells=103 | area=30.4402/60 | coverage=50.7337%
t=160 h | cells=102 | area=30.9153/60 | coverage=51.5254%
t=161 h | cells=101 | area=31.4568/60 | coverage=52.428%
t=162 h | cells=101 | area=32.0881/60 | coverage=53.4801%
t=163 h | cells=108 | area=32.5094/60 | coverage=54.1824%
t=164 h | cells=108 | area=32.7275/60 | coverage=54.5458%
t=165 h | cells=109 | area=33.0838/60 | coverage=55.1397%
t=166 h | cells=111 | area=33.5115/60 | coverage=55.8524%
t=167 h | cells=112 | area=33.962/60 | coverage=56.6034%
t=168 h | cells=111 | area=34.4758/60 | coverage=57.4597%
t=169 h | cells=109 | area=35.0273/60 | coverage=58.3788%
t=170 h | cells=108 | area=35.5605/60 | coverage=59.2674%
t=171 h | cells=112 | area=36.0948/60 | coverage=60.158%
t=172 h | cells=119 | area=36.4385/60 | coverage=60.7309%
t=173 h | cells=122 | area=36.8024/60 | coverage=61.3373%
t=174 h | cells=120 | area=37.03/60 | coverage=61.7166%
t=175 h | cells=119 | area=37.3151/60 | coverage=62.1919%
t=176 h | cells=114 | area=37.6184/60 | coverage=62.6974%
t=177 h | cells=116 | area=37.8281/60 | coverage=63.0468%
t=178 h | cells=126 | area=37.5346/60 | coverage=62.5577%
t=179 h | cells=126 | area=37.3381/60 | coverage=62.2302%
t=180 h | cells=129 | area=37.175/60 | coverage=61.9583%
t=181 h | cells=128 | area=37.1087/60 | coverage=61.8479%
t=182 h | cells=128 | area=37.2772/60 | coverage=62.1287%
t=183 h | cells=129 | area=37.4158/60 | coverage=62.3597%
t=184 h | cells=129 | area=37.6184/60 | coverage=62.6973%
t=185 h | cells=129 | area=37.9021/60 | coverage=63.1702%
t=186 h | cells=131 | area=38.2592/60 | coverage=63.7654%
t=187 h | cells=141 | area=38.3715/60 | coverage=63.9526%
t=188 h | cells=141 | area=38.3397/60 | coverage=63.8995%
t=189 h | cells=140 | area=38.552/60 | coverage=64.2534%
t=190 h | cells=137 | area=38.9045/60 | coverage=64.8409%
t=191 h | cells=139 | area=39.2165/60 | coverage=65.3608%
t=192 h | cells=138 | area=39.5655/60 | coverage=65.9425%
t=193 h | cells=136 | area=40.0108/60 | coverage=66.6846%
t=194 h | cells=135 | area=40.572/60 | coverage=67.6201%
t=195 h | cells=136 | area=41.071/60 | coverage=68.4516%
t=196 h | cells=136 | area=41.5553/60 | coverage=69.2589%
t=197 h | cells=136 | area=42.0937/60 | coverage=70.1562%
t=198 h | cells=136 | area=42.5498/60 | coverage=70.9163%
t=199 h | cells=132 | area=43.0052/60 | coverage=71.6754%
t=200 h | cells=132 | area=43.3953/60 | coverage=72.3255%
t=201 h | cells=136 | area=43.7111/60 | coverage=72.8518%
t=202 h | cells=148 | area=43.5971/60 | coverage=72.6618%
t=203 h | cells=150 | area=43.326/60 | coverage=72.2099%
t=204 h | cells=150 | area=43.265/60 | coverage=72.1083%
t=205 h | cells=150 | area=43.3369/60 | coverage=72.2282%
t=206 h | cells=151 | area=43.489/60 | coverage=72.4816%
t=207 h | cells=146 | area=43.7295/60 | coverage=72.8825%
t=208 h | cells=146 | area=43.9439/60 | coverage=73.2399%
t=209 h | cells=147 | area=44.1875/60 | coverage=73.6458%
t=210 h | cells=148 | area=44.3456/60 | coverage=73.9093%
t=211 h | cells=154 | area=44.149/60 | coverage=73.5816%
t=212 h | cells=154 | area=43.8005/60 | coverage=73.0008%
t=213 h | cells=155 | area=43.5981/60 | coverage=72.6634%
t=214 h | cells=154 | area=43.6003/60 | coverage=72.6672%
t=215 h | cells=156 | area=43.6478/60 | coverage=72.7463%
t=216 h | cells=156 | area=43.7512/60 | coverage=72.9187%
t=217 h | cells=155 | area=43.9351/60 | coverage=73.2251%
t=218 h | cells=153 | area=44.1756/60 | coverage=73.626%
t=219 h | cells=148 | area=44.4504/60 | coverage=74.0841%
t=220 h | cells=147 | area=44.7682/60 | coverage=74.6136%
t=221 h | cells=148 | area=45.1556/60 | coverage=75.2594%
t=222 h | cells=148 | area=45.5579/60 | coverage=75.9299%
t=223 h | cells=150 | area=45.9256/60 | coverage=76.5427%
t=224 h | cells=149 | area=46.1598/60 | coverage=76.933%
t=225 h | cells=151 | area=46.3125/60 | coverage=77.1875%
t=226 h | cells=161 | area=46.211/60 | coverage=77.0183%
t=227 h | cells=160 | area=46.1077/60 | coverage=76.8462%
t=228 h | cells=163 | area=45.9892/60 | coverage=76.6487%
t=229 h | cells=162 | area=45.8779/60 | coverage=76.4632%
t=230 h | cells=161 | area=45.87/60 | coverage=76.45%
t=231 h | cells=156 | area=45.9436/60 | coverage=76.5727%
t=232 h | cells=153 | area=45.998/60 | coverage=76.6633%
t=233 h | cells=149 | area=45.9921/60 | coverage=76.6534%
t=234 h | cells=147 | area=46.106/60 | coverage=76.8433%
t=235 h | cells=150 | area=46.0875/60 | coverage=76.8125%
t=236 h | cells=151 | area=45.915/60 | coverage=76.5249%
t=237 h | cells=153 | area=45.78/60 | coverage=76.3%
t=238 h | cells=153 | area=45.8485/60 | coverage=76.4142%
t=239 h | cells=154 | area=45.8687/60 | coverage=76.4478%
t=240 h | cells=155 | area=45.9549/60 | coverage=76.5916%
t=241 h | cells=155 | area=46.1676/60 | coverage=76.9461%
t=242 h | cells=152 | area=46.4759/60 | coverage=77.4599%
t=243 h | cells=152 | area=46.7999/60 | coverage=77.9998%
t=244 h | cells=153 | area=47.2062/60 | coverage=78.6769%
t=245 h | cells=152 | area=47.628/60 | coverage=79.38%
t=246 h | cells=152 | area=48.0271/60 | coverage=80.0452%
t=247 h | cells=150 | area=48.4086/60 | coverage=80.681%
t=248 h | cells=149 | area=48.8478/60 | coverage=81.413%
t=249 h | cells=148 | area=49.1325/60 | coverage=81.8876%
t=250 h | cells=151 | area=49.2128/60 | coverage=82.0213%
t=251 h | cells=153 | area=49.2475/60 | coverage=82.0792%
t=252 h | cells=155 | area=49.1992/60 | coverage=81.9986%
t=253 h | cells=155 | area=49.1706/60 | coverage=81.951%
t=254 h | cells=154 | area=49.2239/60 | coverage=82.0398%
t=255 h | cells=150 | area=49.3242/60 | coverage=82.207%
t=256 h | cells=151 | area=49.5923/60 | coverage=82.6538%
t=257 h | cells=150 | area=49.8352/60 | coverage=83.0587%
t=258 h | cells=150 | area=50.0002/60 | coverage=83.3336%
t=259 h | cells=155 | area=49.8108/60 | coverage=83.018%
t=260 h | cells=154 | area=49.6384/60 | coverage=82.7306%
t=261 h | cells=158 | area=49.547/60 | coverage=82.5784%
t=262 h | cells=157 | area=49.5523/60 | coverage=82.5871%
t=263 h | cells=157 | area=49.3932/60 | coverage=82.3221%
t=264 h | cells=154 | area=49.2536/60 | coverage=82.0893%
t=265 h | cells=156 | area=49.1881/60 | coverage=81.9802%
t=266 h | cells=154 | area=49.0921/60 | coverage=81.8202%
t=267 h | cells=154 | area=49.0763/60 | coverage=81.7938%
t=268 h | cells=153 | area=49.2183/60 | coverage=82.0304%
t=269 h | cells=152 | area=49.4902/60 | coverage=82.4837%
t=270 h | cells=153 | area=49.7977/60 | coverage=82.9961%
t=271 h | cells=151 | area=50.1121/60 | coverage=83.5202%
t=272 h | cells=151 | area=50.3896/60 | coverage=83.9827%
t=273 h | cells=151 | area=50.6275/60 | coverage=84.3792%
t=274 h | cells=152 | area=50.7538/60 | coverage=84.5896%
t=275 h | cells=153 | area=50.9253/60 | coverage=84.8756%
t=276 h | cells=155 | area=50.9702/60 | coverage=84.9503%
t=277 h | cells=156 | area=50.9759/60 | coverage=84.9599%
t=278 h | cells=154 | area=51.0368/60 | coverage=85.0614%
t=279 h | cells=154 | area=51.1581/60 | coverage=85.2636%
t=280 h | cells=154 | area=51.3133/60 | coverage=85.5222%
t=281 h | cells=154 | area=51.5021/60 | coverage=85.8368%
t=282 h | cells=152 | area=51.6661/60 | coverage=86.1101%
t=283 h | cells=155 | area=51.6401/60 | coverage=86.0668%
t=284 h | cells=156 | area=51.4916/60 | coverage=85.8193%
t=285 h | cells=159 | area=51.4305/60 | coverage=85.7176%
t=286 h | cells=157 | area=51.4073/60 | coverage=85.6788%
t=287 h | cells=159 | area=51.3063/60 | coverage=85.5106%
t=288 h | cells=156 | area=51.2526/60 | coverage=85.4209%
t=289 h | cells=154 | area=51.3202/60 | coverage=85.5337%
t=290 h | cells=155 | area=51.4306/60 | coverage=85.7177%
t=291 h | cells=152 | area=51.5294/60 | coverage=85.8823%
t=292 h | cells=152 | area=51.7012/60 | coverage=86.1687%
t=293 h | cells=151 | area=51.8089/60 | coverage=86.3482%
t=294 h | cells=151 | area=51.9199/60 | coverage=86.5331%
t=295 h | cells=151 | area=52.0374/60 | coverage=86.7291%
t=296 h | cells=151 | area=52.0254/60 | coverage=86.709%
t=297 h | cells=150 | area=52.0369/60 | coverage=86.7282%
t=298 h | cells=151 | area=52.0071/60 | coverage=86.6785%
t=299 h | cells=153 | area=51.9037/60 | coverage=86.5062%
t=300 h | cells=154 | area=51.7215/60 | coverage=86.2026%
t=301 h | cells=156 | area=51.5961/60 | coverage=85.9934%
t=302 h | cells=155 | area=51.5141/60 | coverage=85.8568%
t=303 h | cells=151 | area=51.4869/60 | coverage=85.8116%
t=304 h | cells=151 | area=51.5146/60 | coverage=85.8577%
t=305 h | cells=148 | area=51.5105/60 | coverage=85.8508%
t=306 h | cells=146 | area=51.4737/60 | coverage=85.7894%
t=307 h | cells=151 | area=51.3914/60 | coverage=85.6523%
t=308 h | cells=151 | area=51.2204/60 | coverage=85.3674%
t=309 h | cells=151 | area=51.1677/60 | coverage=85.2795%
t=310 h | cells=153 | area=51.1128/60 | coverage=85.1881%
t=311 h | cells=153 | area=50.8601/60 | coverage=84.7668%
t=312 h | cells=152 | area=50.7383/60 | coverage=84.5638%
t=313 h | cells=149 | area=50.7499/60 | coverage=84.5831%
t=314 h | cells=148 | area=50.8123/60 | coverage=84.6871%
t=315 h | cells=146 | area=50.7841/60 | coverage=84.6402%
t=316 h | cells=145 | area=50.8225/60 | coverage=84.7042%
t=317 h | cells=144 | area=50.8713/60 | coverage=84.7856%
t=318 h | cells=144 | area=50.9359/60 | coverage=84.8932%
t=319 h | cells=143 | area=50.8286/60 | coverage=84.7144%
t=320 h | cells=142 | area=50.673/60 | coverage=84.455%
t=321 h | cells=144 | area=50.5558/60 | coverage=84.2596%
t=322 h | cells=143 | area=50.3963/60 | coverage=83.9939%
t=323 h | cells=143 | area=50.2371/60 | coverage=83.7284%
