-- Configuring done (3.5s)
-- Generating done (2.0s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestControl_15x4
=== BUILD DONE, STARTING TestControl_15x4 ===
Running 3 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestControl_15x4.hpp *****


Entering TestControl_rep1
Starting simulation: Control_15x4 rep1
Target area: 60 units^2
Initial cell count: 6
t=4 h | cells=8 | area=5.51545/60 | coverage=9.19242%
t=5 h | cells=8 | area=5.83549/60 | coverage=9.72582%
t=6 h | cells=8 | area=6.14266/60 | coverage=10.2378%
t=7 h | cells=9 | area=6.45825/60 | coverage=10.7638%
t=8 h | cells=9 | area=6.86428/60 | coverage=11.4405%
t=9 h | cells=9 | area=7.25141/60 | coverage=12.0857%
t=10 h | cells=9 | area=7.55981/60 | coverage=12.5997%
t=11 h | cells=9 | area=7.78737/60 | coverage=12.9789%
t=12 h | cells=9 | area=7.99203/60 | coverage=13.3201%
t=13 h | cells=9 | area=8.19629/60 | coverage=13.6605%
t=14 h | cells=9 | area=8.39021/60 | coverage=13.9837%
t=15 h | cells=9 | area=8.49603/60 | coverage=14.16%
t=16 h | cells=9 | area=8.5994/60 | coverage=14.3323%
t=17 h | cells=9 | area=8.62901/60 | coverage=14.3817%
t=18 h | cells=9 | area=8.63221/60 | coverage=14.387%
t=19 h | cells=10 | area=8.61148/60 | coverage=14.3525%
t=20 h | cells=10 | area=8.67089/60 | coverage=14.4515%
t=21 h | cells=10 | area=8.77534/60 | coverage=14.6256%
t=22 h | cells=10 | area=8.88138/60 | coverage=14.8023%
t=23 h | cells=12 | area=8.93524/60 | coverage=14.8921%
t=24 h | cells=12 | area=9.16878/60 | coverage=15.2813%
t=25 h | cells=14 | area=9.48809/60 | coverage=15.8135%
t=26 h | cells=14 | area=9.99196/60 | coverage=16.6533%
t=27 h | cells=14 | area=10.505/60 | coverage=17.5083%
t=28 h | cells=16 | area=10.9665/60 | coverage=18.2776%
t=29 h | cells=16 | area=11.5911/60 | coverage=19.3185%
t=30 h | cells=16 | area=12.2092/60 | coverage=20.3486%
t=31 h | cells=18 | area=12.8277/60 | coverage=21.3794%
t=32 h | cells=18 | area=13.6053/60 | coverage=22.6756%
t=33 h | cells=18 | area=14.3268/60 | coverage=23.878%
t=34 h | cells=18 | area=14.9357/60 | coverage=24.8929%
t=35 h | cells=18 | area=15.4011/60 | coverage=25.6686%
t=36 h | cells=18 | area=15.791/60 | coverage=26.3183%
t=37 h | cells=18 | area=16.1847/60 | coverage=26.9745%
t=38 h | cells=18 | area=16.5653/60 | coverage=27.6088%
t=39 h | cells=18 | area=16.7745/60 | coverage=27.9574%
t=40 h | cells=18 | area=16.9788/60 | coverage=28.298%
t=41 h | cells=18 | area=17.0973/60 | coverage=28.4955%
t=42 h | cells=18 | area=17.1256/60 | coverage=28.5427%
t=43 h | cells=19 | area=17.1183/60 | coverage=28.5305%
t=44 h | cells=19 | area=17.2099/60 | coverage=28.6832%
t=45 h | cells=19 | area=17.3136/60 | coverage=28.856%
t=46 h | cells=19 | area=17.4158/60 | coverage=29.0263%
t=47 h | cells=23 | area=17.4297/60 | coverage=29.0495%
t=48 h | cells=23 | area=17.7907/60 | coverage=29.6511%
t=49 h | cells=26 | area=18.3026/60 | coverage=30.5043%
t=50 h | cells=26 | area=19.0119/60 | coverage=31.6865%
t=51 h | cells=26 | area=19.7611/60 | coverage=32.9352%
t=52 h | cells=29 | area=20.4055/60 | coverage=34.0092%
t=53 h | cells=29 | area=21.2908/60 | coverage=35.4846%
t=54 h | cells=29 | area=22.2367/60 | coverage=37.0611%
t=55 h | cells=33 | area=23.1635/60 | coverage=38.6058%
t=56 h | cells=33 | area=24.2501/60 | coverage=40.4169%
t=57 h | cells=33 | area=25.259/60 | coverage=42.0983%
t=58 h | cells=33 | area=26.0514/60 | coverage=43.419%
t=59 h | cells=33 | area=26.7405/60 | coverage=44.5675%
t=60 h | cells=33 | area=27.3728/60 | coverage=45.6213%
t=61 h | cells=33 | area=28.0153/60 | coverage=46.6921%
t=62 h | cells=33 | area=28.6217/60 | coverage=47.7028%
t=63 h | cells=33 | area=29.0244/60 | coverage=48.3739%
t=64 h | cells=33 | area=29.3962/60 | coverage=48.9936%
t=65 h | cells=33 | area=29.7557/60 | coverage=49.5928%
t=66 h | cells=33 | area=30.046/60 | coverage=50.0767%
t=67 h | cells=35 | area=30.2637/60 | coverage=50.4394%
t=68 h | cells=35 | area=30.4135/60 | coverage=50.6892%
t=69 h | cells=35 | area=30.5783/60 | coverage=50.9638%
t=70 h | cells=35 | area=30.7489/60 | coverage=51.2482%
t=71 h | cells=42 | area=30.8509/60 | coverage=51.4181%
t=72 h | cells=42 | area=31.2683/60 | coverage=52.1139%
t=73 h | cells=45 | area=31.8645/60 | coverage=53.1076%
t=74 h | cells=45 | area=32.5599/60 | coverage=54.2665%
t=75 h | cells=45 | area=33.3768/60 | coverage=55.628%
t=76 h | cells=51 | area=34.0229/60 | coverage=56.7048%
t=77 h | cells=51 | area=35.0191/60 | coverage=58.3652%
t=78 h | cells=51 | area=36.0624/60 | coverage=60.1039%
t=79 h | cells=58 | area=37.1213/60 | coverage=61.8688%
