-- Configuring done (3.9s)
-- Generating done (2.1s)
-- Build files have been written to: /workspace/EpithelialRheology/build
[100%] Built target chaste_project_EpithelialRheology
[ 40%] Built target chaste_project_EpithelialRheology
[100%] Built target TestAdhesion
=== BUILD DONE, STARTING TestAdhesion ===
Running 30 tests
Changing directory from '/workspace/EpithelialRheology/build/' to '/home/conda/build_artifacts/chaste_1736320297758/work/'.
CWD now: /home/conda/build_artifacts/chaste_1736320297758/work


 ***** TestAdhesion.hpp *****


Entering TestLineTension_0p00_rep1
Starting simulation: LineTension_0.00_rep1
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=115 h | cells=108 | area=59.9326/60 | coverage=99.8877%
t=116 h | cells=108 | area=60/60 | coverage=100%
t=117 h | cells=108 | area=60/60 | coverage=100%
Box fully covered (100%) at t=117 h. Stopping.
Final cell count: 108
Passed
Entering TestLineTension_0p00_rep2
Starting simulation: LineTension_0.00_rep2
lineTension = 0
Target area: 60 units^2
Initial cell count: 6
t=1 h | cells=7 | area=4.85748/60 | coverage=8.0958%
t=2 h | cells=7 | area=5.09837/60 | coverage=8.49728%
t=3 h | cells=7 | area=5.34995/60 | coverage=8.91659%
t=4 h | cells=8 | area=5.58551/60 | coverage=9.30918%
t=5 h | cells=8 | area=5.90793/60 | coverage=9.84655%
t=6 h | cells=8 | area=6.21438/60 | coverage=10.3573%
t=7 h | cells=9 | area=6.54056/60 | coverage=10.9009%
t=8 h | cells=9 | area=6.94517/60 | coverage=11.5753%
t=9 h | cells=9 | area=7.3333/60 | coverage=12.2222%
t=10 h | cells=9 | area=7.64288/60 | coverage=12.7381%
t=11 h | cells=9 | area=7.86984/60 | coverage=13.1164%
t=12 h | cells=9 | area=8.07135/60 | coverage=13.4522%
t=13 h | cells=9 | area=8.27303/60 | coverage=13.7884%
t=14 h | cells=9 | area=8.46511/60 | coverage=14.1085%
t=15 h | cells=9 | area=8.56956/60 | coverage=14.2826%
t=16 h | cells=9 | area=8.66913/60 | coverage=14.4485%
t=17 h | cells=9 | area=8.69765/60 | coverage=14.4961%
t=18 h | cells=9 | area=8.7001/60 | coverage=14.5002%
t=19 h | cells=10 | area=8.69361/60 | coverage=14.4893%
t=20 h | cells=10 | area=8.77045/60 | coverage=14.6174%
t=21 h | cells=10 | area=8.87215/60 | coverage=14.7869%
t=22 h | cells=10 | area=8.97362/60 | coverage=14.956%
t=23 h | cells=12 | area=9.05774/60 | coverage=15.0962%
t=24 h | cells=12 | area=9.314/60 | coverage=15.5233%
t=25 h | cells=14 | area=9.66514/60 | coverage=16.1086%
t=26 h | cells=14 | area=10.1609/60 | coverage=16.9349%
t=27 h | cells=14 | area=10.667/60 | coverage=17.7784%
t=28 h | cells=16 | area=11.1394/60 | coverage=18.5656%
t=29 h | cells=16 | area=11.7733/60 | coverage=19.6222%
t=30 h | cells=16 | area=12.3888/60 | coverage=20.648%
t=31 h | cells=18 | area=13.04/60 | coverage=21.7334%
t=32 h | cells=18 | area=13.8407/60 | coverage=23.0678%
t=33 h | cells=18 | area=14.5811/60 | coverage=24.3018%
t=34 h | cells=18 | area=15.1786/60 | coverage=25.2976%
t=35 h | cells=18 | area=15.6334/60 | coverage=26.0557%
t=36 h | cells=18 | area=16.0373/60 | coverage=26.7288%
t=37 h | cells=18 | area=16.4363/60 | coverage=27.3938%
t=38 h | cells=18 | area=16.8126/60 | coverage=28.021%
t=39 h | cells=18 | area=17.0216/60 | coverage=28.3693%
t=40 h | cells=18 | area=17.2233/60 | coverage=28.7055%
t=41 h | cells=18 | area=17.317/60 | coverage=28.8617%
t=42 h | cells=18 | area=17.3348/60 | coverage=28.8913%
t=43 h | cells=19 | area=17.3325/60 | coverage=28.8876%
t=44 h | cells=19 | area=17.4091/60 | coverage=29.0152%
t=45 h | cells=19 | area=17.5142/60 | coverage=29.1904%
t=46 h | cells=19 | area=17.6199/60 | coverage=29.3665%
t=47 h | cells=23 | area=17.7017/60 | coverage=29.5028%
t=48 h | cells=23 | area=18.064/60 | coverage=30.1066%
